date	close
24-Apr-14	93.24
25-Apr-14	95.35
26-Apr-14	98.84
27-Apr-14	99.92
30-Apr-14	99.80
1-May-14	99.47
2-May-14	100.39
3-May-14	100.40
4-May-14	100.81
7-May-14	103.92
8-May-14	105.06
9-May-14	106.88
10-May-14	107.34
11-May-14	108.74
14-May-14	109.36
15-May-14	107.52
16-May-14	107.34
17-May-14	109.44
18-May-14	110.02
21-May-14	111.98
22-May-14	113.54
23-May-14	112.89
24-May-14	110.69
25-May-14	113.62
29-May-14	114.35
30-May-14	118.77
31-May-14	121.19
1-Jun-14	118.40
4-Jun-14	121.33
5-Jun-14	122.67
6-Jun-14	123.64
7-Jun-14	124.07
8-Jun-14	124.49
11-Jun-14	120.19
12-Jun-14	120.38
13-Jun-14	117.50
14-Jun-14	118.75
15-Jun-14	120.50
18-Jun-14	125.09
19-Jun-14	123.66
20-Jun-14	121.55
21-Jun-14	123.90
22-Jun-14	123.00
25-Jun-14	122.34
26-Jun-14	119.65
27-Jun-14	121.89
28-Jun-14	120.56
29-Jun-14	122.04
2-Jul-14	121.26
3-Jul-14	127.17
5-Jul-14	132.75
6-Jul-14	132.30
9-Jul-14	130.33
10-Jul-14	132.35
11-Jul-14	132.39
12-Jul-14	134.07
13-Jul-14	137.73
16-Jul-14	138.10
17-Jul-14	138.91
18-Jul-14	138.12
19-Jul-14	140.00
20-Jul-14	143.75
23-Jul-14	143.70
24-Jul-14	134.89
25-Jul-14	137.26
26-Jul-14	146.00
27-Jul-14	143.85
30-Jul-14	141.43
31-Jul-14	131.76
1-Aug-14	135.00
2-Aug-14	136.49
3-Aug-14	131.85
6-Aug-14	135.25
7-Aug-14	135.03
8-Aug-14	134.01
9-Aug-14	126.39
10-Aug-14	125.00
13-Aug-14	127.79
14-Aug-14	124.03
15-Aug-14	119.90
16-Aug-14	117.05
17-Aug-14	122.06
20-Aug-14	122.22
21-Aug-14	127.57
22-Aug-14	132.51
23-Aug-14	131.07
24-Aug-14	135.30
27-Aug-14	132.25
28-Aug-14	126.82
29-Aug-14	134.08
30-Aug-14	136.25
31-Aug-14	138.48
4-Sep-14	144.16
5-Sep-14	136.76
6-Sep-14	135.01
7-Sep-14	131.77
10-Sep-14	136.71
11-Sep-14	135.49
12-Sep-14	136.85
13-Sep-14	137.20
14-Sep-14	138.81
17-Sep-14	138.41
18-Sep-14	140.92
19-Sep-14	140.77
20-Sep-14	140.31
21-Sep-14	144.15
24-Sep-14	148.28
25-Sep-14	153.18
26-Sep-14	152.77
27-Sep-14	154.50
28-Sep-14	153.47
1-Oct-14	156.34
2-Oct-14	158.45
3-Oct-14	157.92
4-Oct-14	156.24
5-Oct-14	161.45
8-Oct-14	167.91
9-Oct-14	167.86
10-Oct-14	166.79
11-Oct-14	162.23
12-Oct-14	167.25
15-Oct-14	166.98
16-Oct-14	169.58
17-Oct-14	172.75
18-Oct-14	173.50
19-Oct-14	170.42
22-Oct-14	174.36
23-Oct-14	186.16
24-Oct-14	185.93
25-Oct-14	182.78
26-Oct-14	184.70
29-Oct-14	185.09
30-Oct-14	187.00
31-Oct-14	189.95
1-Nov-14	187.44
2-Nov-14	187.87
5-Nov-14	186.18
6-Nov-14	191.79
7-Nov-14	186.30
8-Nov-14	175.47
9-Nov-14	165.37
12-Nov-14	153.76
13-Nov-14	169.96
14-Nov-14	166.11
15-Nov-14	164.30
16-Nov-14	166.39
19-Nov-14	163.95
20-Nov-14	168.85
21-Nov-14	168.46
23-Nov-14	171.54
26-Nov-14	172.54
27-Nov-14	174.81
28-Nov-14	180.22
29-Nov-14	184.29
30-Nov-14	182.22
3-Dec-14	178.86
4-Dec-14	179.81
5-Dec-14	185.50
6-Dec-14	189.95
7-Dec-14	194.30
10-Dec-14	194.21
11-Dec-14	188.54
12-Dec-14	190.86
13-Dec-14	191.83
14-Dec-14	190.39
17-Dec-14	184.40
18-Dec-14	182.98
19-Dec-14	183.12
20-Dec-14	187.21
21-Dec-14	193.91
24-Dec-14	198.80
26-Dec-14	198.95
27-Dec-14	198.57
28-Dec-14	199.83
31-Dec-14	198.08
2-Jan-15	194.84
3-Jan-15	194.93
4-Jan-15	180.05
7-Jan-15	177.64
8-Jan-15	171.25
9-Jan-15	179.40
10-Jan-15	178.02
11-Jan-15	172.69
14-Jan-15	178.78
15-Jan-15	169.04
16-Jan-15	159.64
17-Jan-15	160.89
18-Jan-15	161.36
22-Jan-15	155.64
23-Jan-15	139.07
24-Jan-15	135.60
25-Jan-15	130.01
28-Jan-15	130.01
29-Jan-15	131.54
30-Jan-15	132.18
31-Jan-15	135.36
1-Feb-15	133.75
4-Feb-15	131.65
5-Feb-15	129.36
6-Feb-15	122.00
7-Feb-15	121.24
8-Feb-15	125.48
11-Feb-15	129.45
12-Feb-15	124.86
13-Feb-15	129.40
14-Feb-15	127.46
15-Feb-15	124.63
19-Feb-15	122.18
20-Feb-15	123.82
21-Feb-15	121.54
22-Feb-15	119.46
25-Feb-15	119.74
26-Feb-15	119.15
27-Feb-15	122.96
28-Feb-15	129.91
29-Feb-15	125.02
3-Mar-15	121.73
4-Mar-15	124.62
5-Mar-15	124.49
6-Mar-15	120.93
7-Mar-15	122.25
10-Mar-15	119.69
11-Mar-15	127.35
12-Mar-15	126.03
13-Mar-15	127.94
14-Mar-15	126.61
17-Mar-15	126.73
18-Mar-15	132.82
19-Mar-15	129.67
20-Mar-15	133.27
24-Mar-15	139.53
25-Mar-15	140.98
26-Mar-15	145.06
27-Mar-15	140.25
28-Mar-15	143.01
31-Mar-15	143.50
1-Apr-15	149.53
2-Apr-15	147.49
3-Apr-15	151.61
4-Apr-15	153.08
7-Apr-15	155.89
8-Apr-15	152.84
9-Apr-15	151.44
10-Apr-15	154.55
11-Apr-15	147.14
14-Apr-15	147.78
15-Apr-15	148.38
16-Apr-15	153.70
17-Apr-15	154.49
18-Apr-15	161.04
21-Apr-15	168.16
22-Apr-15	160.20
23-Apr-15	162.89
24-Apr-15	168.94
25-Apr-15	169.73
28-Apr-15	172.24
29-Apr-15	175.05
30-Apr-15	173.95
1-May-15	180.00
2-May-15	180.94
5-May-15	184.73
6-May-15	186.66
7-May-15	182.59
8-May-15	185.06
9-May-15	183.45
12-May-15	188.16
13-May-15	189.96
14-May-15	186.26
15-May-15	189.73
16-May-15	187.62
19-May-15	183.60
20-May-15	185.90
21-May-15	178.19
22-May-15	177.05
23-May-15	181.17
27-May-15	186.43
28-May-15	187.01
29-May-15	186.69
30-May-15	188.75
2-Jun-15	186.10
3-Jun-15	185.37
4-Jun-15	185.19
5-Jun-15	189.43
6-Jun-15	185.64
9-Jun-15	181.61
10-Jun-15	185.64
11-Jun-15	180.81
12-Jun-15	173.26
13-Jun-15	172.37
16-Jun-15	176.84
17-Jun-15	181.43
18-Jun-15	178.75
19-Jun-15	180.90
20-Jun-15	175.27
23-Jun-15	173.16
24-Jun-15	173.25
25-Jun-15	177.39
26-Jun-15	168.26
27-Jun-15	170.09
30-Jun-15	167.44
1-Jul-15	174.68
2-Jul-15	168.18
3-Jul-15	170.12
7-Jul-15	175.16
8-Jul-15	179.55
9-Jul-15	174.25
10-Jul-15	176.63
11-Jul-15	172.58
14-Jul-15	173.88
15-Jul-15	169.64
16-Jul-15	172.81
17-Jul-15	171.81
18-Jul-15	165.15
21-Jul-15	166.29
22-Jul-15	162.02
23-Jul-15	166.26
24-Jul-15	159.03
25-Jul-15	162.12
28-Jul-15	154.40
29-Jul-15	157.08
30-Jul-15	159.88
31-Jul-15	158.95
1-Aug-15	156.66
4-Aug-15	153.23
5-Aug-15	160.64
6-Aug-15	164.19
7-Aug-15	163.57
8-Aug-15	169.55
11-Aug-15	173.56
12-Aug-15	176.73
13-Aug-15	179.30
14-Aug-15	179.32
15-Aug-15	175.74
18-Aug-15	175.39
19-Aug-15	173.53
20-Aug-15	175.84
21-Aug-15	174.29
22-Aug-15	176.79
25-Aug-15	172.55
26-Aug-15	173.64
27-Aug-15	174.67
28-Aug-15	173.74
29-Aug-15	169.53
2-Sep-15	166.19
3-Sep-15	166.96
4-Sep-15	161.22
5-Sep-15	160.18
8-Sep-15	157.92
9-Sep-15	151.68
10-Sep-15	151.61
11-Sep-15	152.65
12-Sep-15	148.94
15-Sep-15	140.36
16-Sep-15	139.88
17-Sep-15	127.83
18-Sep-15	134.09
19-Sep-15	140.91
22-Sep-15	131.05
23-Sep-15	126.84
24-Sep-15	128.71
25-Sep-15	131.93
26-Sep-15	128.24
29-Sep-15	105.26
30-Sep-15	113.66
1-Oct-15	109.12
2-Oct-15	100.10
3-Oct-15	97.07
6-Oct-15	98.14
7-Oct-15	89.16
8-Oct-15	89.79
9-Oct-15	88.74
10-Oct-15	96.80
13-Oct-15	110.26
14-Oct-15	104.08
15-Oct-15	97.95
16-Oct-15	101.89
17-Oct-15	97.40
20-Oct-15	98.44
21-Oct-15	91.49
22-Oct-15	96.87
23-Oct-15	98.23
24-Oct-15	96.38
27-Oct-15	92.09
28-Oct-15	99.91
29-Oct-15	104.55
30-Oct-15	111.04
31-Oct-15	107.59
3-Nov-15	106.96
4-Nov-15	110.99
5-Nov-15	103.30
6-Nov-15	99.10
7-Nov-15	98.24
10-Nov-15	95.88
11-Nov-15	94.77
12-Nov-15	90.12
13-Nov-15	96.44
14-Nov-15	90.24
17-Nov-15	88.14
18-Nov-15	89.91
19-Nov-15	86.29
20-Nov-15	80.49
21-Nov-15	82.58
24-Nov-15	92.95
25-Nov-15	90.80
26-Nov-15	95.00
27-Nov-15	95.00
28-Nov-15	92.67
1-Dec-15	88.93
2-Dec-15	92.47
3-Dec-15	95.90
4-Dec-15	91.41
5-Dec-15	94.00
8-Dec-15	99.72
9-Dec-15	100.06
10-Dec-15	98.21
11-Dec-15	95.00
12-Dec-15	98.27
15-Dec-15	94.75
16-Dec-15	95.43
17-Dec-15	89.16
18-Dec-15	89.43
19-Dec-15	90.00
22-Dec-15	85.74
23-Dec-15	86.38
24-Dec-15	85.04
25-Dec-15	85.04
26-Dec-15	85.81
29-Dec-15	86.61
30-Dec-15	86.29
31-Dec-15	85.35
1-Jan-16	85.35
2-Jan-16	90.75
5-Jan-16	94.58
6-Jan-16	93.02
7-Jan-16	91.01
8-Jan-16	92.70
9-Jan-16	90.58
12-Jan-16	88.66
13-Jan-16	87.71
14-Jan-16	85.33
15-Jan-16	83.38
16-Jan-16	82.33
20-Jan-16	78.20
21-Jan-16	82.83
22-Jan-16	88.36
23-Jan-16	88.36
26-Jan-16	89.64
27-Jan-16	90.73
28-Jan-16	94.20
29-Jan-16	93.00
30-Jan-16	90.13
2-Feb-16	91.51
3-Feb-16	92.98
4-Feb-16	93.55
5-Feb-16	96.46
6-Feb-16	99.72
9-Feb-16	102.51
10-Feb-16	97.83
11-Feb-16	96.82
12-Feb-16	99.27
13-Feb-16	99.16
17-Feb-16	94.53
18-Feb-16	94.37
19-Feb-16	90.64
20-Feb-16	91.20
23-Feb-16	86.95
24-Feb-16	90.25
25-Feb-16	91.16
26-Feb-16	89.19
27-Feb-16	89.31
2-Mar-16	87.94
3-Mar-16	88.37
4-Mar-16	91.17
5-Mar-16	88.84
6-Mar-16	85.30
9-Mar-16	83.11
10-Mar-16	88.63
11-Mar-16	92.68
12-Mar-16	96.35
13-Mar-16	95.93
16-Mar-16	95.42
17-Mar-16	99.66
18-Mar-16	101.52
19-Mar-16	101.62
20-Mar-16	101.59
23-Mar-16	107.66
24-Mar-16	106.50
25-Mar-16	106.49
26-Mar-16	109.87
27-Mar-16	106.85
30-Mar-16	104.49
31-Mar-16	105.12
1-Apr-16	108.69
2-Apr-16	112.71
3-Apr-16	115.99
6-Apr-16	118.45
7-Apr-16	115.00
8-Apr-16	116.32
9-Apr-16	119.57
10-Apr-16	119.57
13-Apr-16	120.22
14-Apr-16	118.31
15-Apr-16	117.64
16-Apr-16	121.45
17-Apr-16	123.42
20-Apr-16	120.50
21-Apr-16	121.76
22-Apr-16	121.51
23-Apr-16	125.40
24-Apr-16	123.90
27-Apr-16	124.73
28-Apr-16	123.90
29-Apr-16	125.14
30-Apr-16	125.83
1-May-16	127.24
4-May-16	132.07
5-May-16	132.71
6-May-16	132.50
7-May-16	129.06
8-May-16	129.19
11-May-16	129.57
12-May-16	124.42
13-May-16	119.49
14-May-16	122.95
15-May-16	122.42
18-May-16	126.65
19-May-16	127.45
20-May-16	125.87
21-May-16	124.18
22-May-16	122.50
26-May-16	130.78
27-May-16	133.05
28-May-16	135.07
29-May-16	135.81
1-Jun-16	139.35
2-Jun-16	139.49
3-Jun-16	140.95
4-Jun-16	143.74
5-Jun-16	144.67
8-Jun-16	143.85
9-Jun-16	142.72
10-Jun-16	140.25
11-Jun-16	139.95
12-Jun-16	136.97
15-Jun-16	136.09
16-Jun-16	136.35
17-Jun-16	135.58
18-Jun-16	135.88
19-Jun-16	139.48
22-Jun-16	137.37
23-Jun-16	134.01
24-Jun-16	136.22
25-Jun-16	139.86
26-Jun-16	142.44
29-Jun-16	141.97
30-Jun-16	142.43
1-Jul-16	142.83
2-Jul-16	140.02
3-Jul-16	140.02
6-Jul-16	138.61
7-Jul-16	135.40
8-Jul-16	137.22
9-Jul-16	136.36
10-Jul-16	138.52
13-Jul-16	142.34
14-Jul-16	142.27
15-Jul-16	146.88
16-Jul-16	147.52
17-Jul-16	151.75
20-Jul-16	152.91
21-Jul-16	151.51
22-Jul-16	156.74
23-Jul-16	157.82
24-Jul-16	159.99
27-Jul-16	160.10
28-Jul-16	160.00
29-Jul-16	160.03
30-Jul-16	162.79
31-Jul-16	163.39
3-Aug-16	166.43
4-Aug-16	165.55
5-Aug-16	165.11
6-Aug-16	163.91
7-Aug-16	165.51
10-Aug-16	164.72
12-Aug-16	165.31
13-Aug-16	168.42
14-Aug-16	166.78
17-Aug-16	159.59
18-Aug-16	164.00
19-Aug-16	164.60
20-Aug-16	166.33
21-Aug-16	169.22
24-Aug-16	169.06
25-Aug-16	169.40
26-Aug-16	167.41
27-Aug-16	169.45
28-Aug-16	170.05
31-Aug-16	168.21
1-Sep-16	165.30
2-Sep-16	165.18
3-Sep-16	166.55
4-Sep-16	170.31
8-Sep-16	172.93
9-Sep-16	171.14
10-Sep-16	172.56
11-Sep-16	172.16
14-Sep-16	173.72
15-Sep-16	175.16
16-Sep-16	181.87
17-Sep-16	184.55
18-Sep-16	185.02
21-Sep-16	184.02
22-Sep-16	184.48
23-Sep-16	185.50
24-Sep-16	183.82
25-Sep-16	182.37
28-Sep-16	186.15
29-Sep-16	185.38
30-Sep-16	185.35
1-Oct-16	180.86
2-Oct-16	184.90
5-Oct-16	186.02
6-Oct-16	190.01
7-Oct-16	190.25
8-Oct-16	189.27
9-Oct-16	190.47
12-Oct-16	190.81
13-Oct-16	190.02
14-Oct-16	191.29
15-Oct-16	190.56
16-Oct-16	188.05
19-Oct-16	189.86
20-Oct-16	198.76
21-Oct-16	204.92
22-Oct-16	205.20
23-Oct-16	203.94
26-Oct-16	202.48
27-Oct-16	197.37
28-Oct-16	192.40
29-Oct-16	196.35
30-Oct-16	188.50
2-Nov-16	189.31
3-Nov-16	188.75
4-Nov-16	190.81
5-Nov-16	194.03
6-Nov-16	194.34
9-Nov-16	201.46
10-Nov-16	202.98
11-Nov-16	203.25
12-Nov-16	201.99
13-Nov-16	204.45
16-Nov-16	206.63
17-Nov-16	207.00
18-Nov-16	205.96
19-Nov-16	200.51
20-Nov-16	199.92
23-Nov-16	205.88
24-Nov-16	204.44
25-Nov-16	204.19
26-Nov-16	204.19
27-Nov-16	200.59
30-Nov-16	199.91
1-Dec-16	196.97
2-Dec-16	196.23
3-Dec-16	196.48
4-Dec-16	193.32
7-Dec-16	188.95
8-Dec-16	189.87
9-Dec-16	197.80
10-Dec-16	196.43
11-Dec-16	194.67
14-Dec-16	196.98
15-Dec-16	194.17
16-Dec-16	195.03
17-Dec-16	191.86
18-Dec-16	195.43
21-Dec-16	198.23
22-Dec-16	200.36
23-Dec-16	202.10
